diet,why_diet
Vegan,"I don't agree with how animals are treated and I wouldn't kill an animal myself, so I'm not willing to pay others to do that for me in the most cruel way. And for the environment as well."
Vegan,"Ethical, environmental and health (in that order)."
Vegan,Health and environmental reasons
Vegan,Health and for the animals
Vegan,"Healthier, better for the environment, kinder to the animals"
Vegan,"Health, kindness, environmental factors"
Omnivore,Flavour and ease.
Vegan,Environmental and moral reasons
Vegan,"Don't wish to participate in animal cruelty,  to avoid contributing to climate change and for my health."
Vegan,Solely for animal welfare reasons.
Omnivore,"Meat tastes good, eggs taste good, dairy tastes good. 

Also excluding meat would make eating low carb very hard and boring"
Omnivore,"I feel very little guilt for consuming meat, and I makes me feel good. I’ve always eaten meat, as have my family, and animal products have always been a large part of my food intake."
Vegan,"Initially health. Specifically chronic pain and depression.
I've come off all meds. But now it's everything. Animals environment etc"
Vegetarian,I’m against factory farming
Vegan,"Health, ethics, logic"
Omnivore,Like to eat very specific meats
Omnivore,"Mainly because I’m a picky eater, I would like to be vegan once I have the time/money to try it though"
Omnivore,"tradition, ease"
Omnivore,I was raised like this and I have anemia so I have to eat foods rich with iron like meats
Omnivore,"I have anorexia and used to be vegetarian in order to lose weight but as I am now in recovery, I'm aiming to not restrict my diet and I view both vegetarianism and veganism as being restrictive and harmful to someone in eating disorder recovery"
Omnivore,"I grew up vegetarian but was curious as I got older, and I found that including meat in my diet made it easier for me to eat in a more balanced way and maintain a healthier weight, because I could have high protein intake without carbs or fat always being attached."
Omnivore,"1) This is how I was raised
2) I think it's important to have a diversified diet
3) I like the taste of meat and vegetables"
Vegetarian,"Health
Ethical"
Vegan,Ethics
Omnivore,I enjoy eating chicken & seafood.
Vegan,"All of the above haha (health, ethics, environmental, etcetcetcetec)"
Vegan,Ethical
Omnivore,"I limit my meat intake for environmental reasons, but occasionally I eat meat (~once a week) for health and enjoyment."
Omnivore,"Taste, variety and most probably habit."
Omnivore,"Convenience, I don't consume much meat but aren't completely vegetarian."
Omnivore,Convenience and dining pleasure.
Omnivore,"I wish to be vegetarian, but I am unsure how to start and commit. My meals always involve meat, I’m not sure how to make meals that don’t involve meat."
Omnivore,Diversity of nutrient sources. Preference for a variety of food products (both meat and vegetable intake). Perceived incompatibility of more selective diets with food intolerances (eg nut-heavy vegan diets)
Omnivore,"Variety, nutritional quality, taste. I eat meat once or twice a week. Sustainability and health outcomes factor heavily in my food choices overall"
Omnivore,To have a balanced diet
Omnivore,"To be able to consume full range of vitamins, minerals, complete amino acids and balance my macro intake more easily."
Omnivore,It's how I was raised. I like meat.
Omnivore,What I grew up eating
Omnivore,"I enjoy eating some meat occasionally, and I find it easier to include some meat in my diet as I have other dietary restrictions that make cooking hard sometimes"
Omnivore,"Because it’s what I’m used to, grew up eating this way"
Omnivore,I grew up eating this diet and it’s what I’m used to doing
Omnivore,"I was vegetarian for a while, but I couldn’t receive enough nutrients to sustain energy levels"
Omnivore,I enjoy eating and I enjoy variety in my diet. It's also the way my parents brought me up.
Omnivore,I love meat
Omnivore,"Animal protein is important 
"
Omnivore,"I eat vegetarian most of the time, but if I really want meat I have it. This is more of an environmental, financial and health based choice"
Vegetarian,"Animal rights, environmental sustainability"
Omnivore,Its healthy and balanced and i love the taste of meat.
Omnivore,I like my meat
Vegetarian,Animal welfare concerns
Omnivore,"Tried to be vegetarian once - too hard, too limiting."
Omnivore,"Health, ease, variety."
Omnivore,I’m not really sure
Omnivore,No specific reason
Vegetarian,"Animal cruelty, health reasons (e.g., avoidance of high fat/carcinogenic food in my body)"
Omnivore,"I prefer a balanced easy diet. And I don’t believe the environmental arguments for veganisn etc. you can’t apply a one for one logic on farming land, try growing crops on cattle farming land in the middle of Australia etc."
Omnivore,It’s what I grew up with. I’m really not sure how to transition to vegetarian
Omnivore,"i prefer to eat as few processed foods as possible; my experiments with veganism/vegetarianism in the past included more fake meat &c than I like to eat now. also, members of my household prefer to eat at least some meat and it's easier to have the same diet throughout the house."
Omnivore,I struggle to digest vegetable protein
Vegetarian,"I do not cook meat at home for ethical reasons (how animals are treated), however, I eat fish and eggs."
Omnivore,Preference/ laziness
Omnivore,"This is the most cost effective way to remain healthy on a low income, and the easiest way to manage shifting health and digestive issues for me"
Vegetarian,mostly stick to a vegetarian diet for health/environmental reasons
Omnivore,I have a young family and eating meat offers a more complete nutritional profile. It is also the diet I grew up eating and never felt compelled to change.
Omnivore,It's easy
Omnivore,"taste, ease"
Vegan,"Health, not killing animals, helping the environment"
Omnivore,It’s the one I’m most accustomed to
Omnivore,Because I suffered severe FE+ Anaemia as a teenager and I still have side effects now despite my blood iron being back to normal. I would happily go vegan/vegetarian if it didnt pose a significant negative impact to my health.
Omnivore,Balance
Omnivore,I like meat!
Vegetarian,But includes fish - for health
Omnivore,"Mostly habit, I also find it easier and quicker to cook recipes with meat because it's what I'm most used to cooking."
Omnivore,health and convenience. I'm not fond of meat but my health suffers without it.
Vegetarian,Moral reasons
Omnivore,I enjoy all foods. I’ve been brought up with the normal food pyramid.
Vegetarian,Prefer not eat meat for health reasons  and respect for animals
Omnivore,I like it
Omnivore,i like all the foods
Vegetarian,Ethical and environmental
Vegetarian,I felt like cutting meat out of my diet for ethical and sustainability reasons.
Omnivore,"I grew up with it, it is easier, and it has the widest variety of food and flavour."
Omnivore,Grew up omnivore tried to go vegetarian but found the change in diet affected my mood too much
Omnivore,"It is how I was raised, it's convenient"
Omnivore,Tried vegetarian and got ridiculously sick due to lacking iron and b12
Omnivore,"It is how I was brought up, and it is flavoursome and full of protein"
Vegetarian,"In order of importance: Health benefits, help the environment, be kind to animals. I now eat vegetarian, but prefer vegan for health reasons, but sometimes it is more convenient to eat vegetarian."
Omnivore,Main reason is I am used to following this diet. I recently adapted my diet and now try to eat a vegetarian diet during the week and have meat / fish only in weekends. The reason for this is that I think people generally eat too much meat which is not sustainable and not very healthy.
Omnivore,"Variety of foods
Health benefits
Taste
Habit"
Omnivore,"Easy, tastes good, easier to balance nutritionally."
Omnivore,"Easy, cheap"
Omnivore,No reason
Omnivore,Very fussy with too many vegetables to solely be vegetarian
Omnivore,health (especially with small children and being a coeliac so already restricted) and ease
Vegetarian,Don't think animals should die for my sustenance.
Vegetarian,"Sustainability, cruelty, taste"
Vegetarian,Mostly health reasons - I think it’s generally a healthier diet. But I don’t like red meat and think that industrial farming treats animals atrociously and it’s inhumane.
Vegetarian,I don’t like the texture of meat.
Vegetarian,"1. environmental impact
2. health
3.. waste
4. animal welfare"
Omnivore,Healthy
Omnivore,Because I like meat and vegetables.
Omnivore,Always have
Omnivore,Too lazy to commit to vegetarian or vegan diet despite wanting to.
Omnivore,I like a variety of food and was raised this way
Vegetarian,Vegetables are easier to digest
Omnivore,I enjoy eating.
Omnivore,"Taste, ease, how I was raised"
Vegetarian,"health, sustainability"
Omnivore,"Balance, ease, I love all foods!"
Omnivore,I like all sorts of food
Omnivore,Variety and I enjoy it.
Omnivore,"It’s the easiest diet to meet all my nutrient requirements, it’s easy to prepare and it’s cheap to manage"
Omnivore,To sustain myself
Omnivore,Just eat real food. Less fuss
Vegetarian,"environmental considerations, animal welfare, health benefits"
Vegetarian,Moral reasons
Omnivore,"Was strictly vegetarian previously but found I was creating an unhealthy relationship with meat products (cravings, denying myself of meals I want to eat) so now I have meat on average 1-2x a week, or less."
Omnivore,Digestion issues with beans and also follow high protein diet for the gym
Omnivore,Health
Omnivore,I feel that I gain enough energy by consuming processed animals and plants. My family is also omnivore and there is no restriction from my religion to eat any kind of animals.
Omnivore,Just always have this diet
Omnivore,"Raised that way, health, food preferences."
Omnivore,"Convenience, for the most part I eat vegetarian, but just try and reduce my meat consumption."
Omnivore,It’s the most balanced
Vegetarian,Body can’t digest meat
Vegetarian,"Improved carb intake for running. Less bloating and weight gain, improved ethical position by opting out of factory farming to greater extent."
Vegetarian,I don’t want to eat animals
Omnivore,I enjoy eating diary and meat products
Omnivore,Medically required
Omnivore,Like a variety of food and prefer protein over too many carbs
Vegetarian,"religious, environmental, health"
Omnivore,It is a “known” since I was raised eating meat & taught to cook this way.
Vegetarian,Ethical and environmental concerns
Omnivore,"Following parents and society, and general population norms."
Omnivore,Laziness. I don’t eat very much meat but find vegatarianism and veganism too hard.
Omnivore,I follow this diet because I enjoy dairy and meat
Omnivore,Beliefs and study of relevant papers
Omnivore,"Having to depend on other people for food still, it's hard to ask them to buy foods for different diets (as they might me omnivore and i wish i was vegetarian), so i follow this diet because it's easy and inexpensive. Also vegetarian and vegan options at restaurants are hard to find here."
Omnivore,"Mostly the taste. I particularly like chicken and seafood, so taste of the food is quite important to me. I also just don't have the energy to research all my food, it seems like too much effort."
Omnivore,"I like food, and having the option to eat whatever I would like. I will happily eat vegan/vegetarian/pescetarian meals, but I like to have the option to add meat or cheese. I also personally find that I prefer the taste of dairy milk in hot drinks to the equivalents that I have tried."
Omnivore,Enjoyment of food & health reasons (struggled to get enough protein from previously trying to be vegetarian).
Omnivore,"About 6 weeks ago, I started restricting my diet to fish only (no meat). I wanted to avoid contributing to mammal deaths and help the environment."
Omnivore,Nutrition and personal enjoyment.
Omnivore,I like meat and dairy
Vegan,Ethical reasons — animals deserve their own rights and they are not property
Omnivore,I enjoy eating meat.
Omnivore,"I believe that being vegan or vegetarian is a good thing, but I wouldn’t be able to do it because it’s difficult since people can get sick from it unless they are consuming other foods that are high in fat and other nutrients that are otherwise missed out on by not eating meat or dairy."
Vegetarian,Environmental and ethical
Vegetarian,"I always have. As a baby I would refuse all animal products except skim milk - I assume this was a sensitivity to animal fat making me feel ill. I outgrew this and now eat eggs and dairy products, but the thought of eating meat products causes a feeling of revulsion."
Omnivore,This is how I’ve always eaten; my parents cooked this diet for me
Omnivore,"Easy, like eating meat, and also my campus has either omnivore or vegan options, not much vegetarian food."
Omnivore,"I only eat chicken in regards to meat, and that only 2-3 times a week. I don't eat beef as I am a Hindu. I am gradually becoming a vegetarian in line with my religious values but finding it hard to fully make the transition. I am also cutting out egg as Hindus don't eat egg."
Vegetarian,"Mostly concerns about the environment and climate change, also concerns about having enough food for humans and about animal welfare."
Omnivore,Variety
Omnivore,I don’t have any specific reasons: I eat what I like
Omnivore,Convenience (able to eat nearly anything & this is the diet my family followed growing up so I didn't have to make any changes)
Omnivore,Health condition
Vegetarian,"The health implications of meat consumption. E.g., red meats link to cancer by the WHO"
Omnivore,"Variety, balance, enjoy eating all foods"
Vegetarian,"While I think it is healthy for humans to eat meat, I personally don't don't like the idea and have been vegetarian for 20 years now (although have felt this way as long as I can remember). I don't like the mistreatment of animals and mass production of meat. I try to eat ethically and sustainably."
Omnivore,I don't have any dietary restriction and I like eating all of the food.
Omnivore,It is easiest to follow.
Vegetarian,I don't like the thought of eating flesh. Environmental concerns are an important factor in my choice.
Omnivore,Lifestyle
Omnivore,"I actually follow a gluten free (celiac), dairy free (allergy), soy free (allergy), MSG free (allergy), low-carb (diabetes), GMO Free/organic, low-meat (ethical), low-processed food (inflammation causing and unsustainable) diet. I am not strictly one if those three choices!"
Omnivore,"I cook vegetarian because as a student, its: cheaper; i dont have meat going off in the fridge; i dont have to worry about undercooked meat. however, when i eat out, i will eat meat."
Omnivore,No specific reasons. I grew up eating meat and see no reason to stop consuming animal products.
Vegan,Moral/ethical reasons. I was uncomfortable with the harm and treatment of animals for their consumption.
Vegetarian,"Concern for the climate
Concern around global food supply
Poor practice in the way animals are treated in  industrial agriculture"
Vegetarian,Carbon footprint reduction
Omnivore,Hungry all the time.  Performance athlete in college; lots of lifting weights.
Omnivore,I enjoy eating meat and vegetables
Vegetarian,"Unable to digest meat.
Don't like the taste of meat."
Omnivore,"I believe humans are meant to eat a full range of foods, including meat, for health and well-being."
Omnivore,It's the diet I've always had and enjoy
Vegetarian,I haven’t had much meat growing up and never liked the taste/texture of it.
Vegetarian,Became increasingly uncomfortable with the idea of eating meat.
Vegetarian,Ethical and environmental
Omnivore,"I just love the taste of food, almost any food and don't want to miss out on some"
Omnivore,I love animals. They deserve respect. But animals kill amongst themselves to eat and survive. I think we can eat them. That might be part of their purpose. I also have a feeling that my body needs meat.
Vegetarian,"Health reasons, desire to avoid eating animal flesh"
Omnivore,"Variety of foods with different nutrients, tastes good, flexibility."
Omnivore,Taste: I like veggies and meat products
Omnivore,Nutritional reasons and this is what I was raised on
Omnivore,"I would like to be a vegetarian as I do not like how animals in the food industry are treated, however I found it hard to manage with a family. So I do eat meat sometimes but limit consumption in favour of vegetables."
Omnivore,Meat allows for an interesting and balanced diet that is full of creative and different dishes.
Omnivore,I follow this diet as it is something I have been raised on since a child
Omnivore,"Upbringing, current family preferences, ease of finding appropriate food at restaurants, ease of meeting nutritional goals"
Omnivore,"A combination of variety, convenience and upbringing. I eat vegetarian for probably 3 days a week."
Vegetarian,"habit, health, the environment"
Vegetarian,Ethics
Vegetarian,Ethical and dislike of taste. Also health
Vegetarian,Not wanting to kill animals
Vegan,"Compassion, health, environment"
Vegetarian,"I don't like most meats, but eat some occasionally"
Vegetarian,I started predominately for environmental and health reasons- but the longer I’ve been vegetarian the more I’ve realised I don’t wanna eat animals aha and I don’t like seeing them suffer
Vegetarian,Ethical and health benefits
Omnivore,"It's the way I was brought up, and I've continued to eat this way. I also like to have a wide range of options and variety in my diet."
Omnivore,I love a good steak and what's a good steak without a good mash.
Omnivore,"Its the way I was raised originally, since maturing it's mostly a choice I've followed due to enjoying the types of meals that contain meats."
Omnivore,Its the default one and I like to eat meat when I eat out
Omnivore,"Health, enjoyment, and balance."
Vegan,Health advantages and animal welfare and also I was brought up as a vegetarian
Vegan,"Health, environment and animal rights"
Vegan,Animal rights
Vegan,"Compassion for sentient beings, environmental and health benefits"
Vegan,ethical and environmental reasons
Vegetarian,Health and environmental reasons.
Vegan,"Less impact on the environment, less harm to animals"
Vegan,"Animal rights, environmental impact, health, finance"
Omnivore,sustainability
Vegan,Animal rights
Vegan,"for my health, for the environment and moral compass."
Vegan,"Animal rights, environmental and health"
Vegan,Ethical reasons
Vegan,To help the environment and overall health and showing compassion to animals as an added bonus
Vegetarian,"Health, ethics."
Omnivore,I need high levels of protein in my diet and this is the easiest way without resorting to supplements
Omnivore,I've never really thought about being any different and also family have always been like this so I have just followed that
Vegan,I believe animals and humans are equal
Vegetarian,Animal welfare
Vegan,Health reasons
Vegan,"Animal welfare.
Environmental reasons. 
Health."
Vegan,"For health, environment and ethically reasons."
Vegan,"First of all, I don't think of it as a diet. It is a lifestyle choice. It's just not about the food, it's about the clothing, testing on animals and everything else. Animal welfare and having a voice for the animals must come first."
Vegan,"I am vegan for the animals, for my health and for the environment."
Vegan,Animal ethics
Vegan,"The animals, the earth and health."
Vegan,"Ethical, environmental, health"
Vegan,I love animals
Vegan,"Ethical, environmental and health"
Vegan,Ethics
Vegetarian,Initially environmental but have now also swayed towards ethical reasons
Vegetarian,Moral reasons related to animal treatment
Vegetarian,"A combinations of most of the reasons that people tend to list. In order of priority, something like this: climate change/environmental reasons, animal welfare, health, I like vegetables/don't love meat anyway"
Omnivore,I was vegetarian for 2 years and felt poorly
Vegetarian,Ethical reasons.
Omnivore,"Its convenient, cheap and tasty."
Vegan,Ethical and health reasons
Vegetarian,Animal welfare reasons
Vegetarian,"It’s the food I like, not that interested in meat."
Omnivore,I believe a balanced diet consists of meat and dairy. I also enjoy vegetarian diet but tend to follow an omnivore diet.
Omnivore,Balanced
Omnivore,"Convenience is the main reason, not wanting to inconvenience my family. Also I'm a very fussy eater so I can't cut out too many food options."
Vegetarian,Reducing impacts on the environment and I just don’t like the thought of eating animals
Vegetarian,"I want to practice compassion towards animals, also health reasons. So a mixture of religion and health."
Vegetarian,ethical
Vegetarian,"Religious, previous eating disorder, and habit"
Omnivore,I always have
Omnivore,"I was raised omnivore, and even though I have made it a goal to have meat-free days a couple of times a week, I'm not willing to give up meat fully because I enjoy it too much."
Omnivore,"Convenient, like taste of meat"
Vegan,Ethica and environment. Also avoiding the health risks associated with many animal products
Omnivore,Enjoy the taste of meat and believe it is part of a balanced diet.
Omnivore,"Balance, taste, variety, protein and iron demands"
Omnivore,I enjoy all goods and a variety in my diet. I think it offers the best opportunity (through this variety) to maximise nutritional intake obtained through diet. I also don't think I could ever practically give up meat and/or animal products because I simply enjoy them too much!
Vegetarian,"Personal taste (never really liked meat)
Treatment of animals at factory farms"
Vegetarian,Animal welfare
Vegan,Ethical. I am opposed to animal exploitation.
Omnivore,I like a well balanced diet and all sorts of food
Vegan,I don't want to kill animals
Vegetarian,It's healthier and doesn't kill animals
Vegetarian,Religious
Vegetarian,"Religious, ethical beliefs"
Vegetarian,Health  and  compassion towards animals
Vegetarian,"Not killing animals for nutrition, also environmental impact and grew up vegetarian due to religion"
Omnivore,I like hamburgers
Omnivore,"I really, REALLY like food. I enjoy meats prepared in a variety of ways. I also eat a lot of salad, pulses, pasta and eggs"
Omnivore,Variety
Vegetarian,Ethical and Environmental
Vegetarian,Ethical and health reasons
Omnivore,Always have
Omnivore,I have no personal reasons to exclude any category of food from my diet.
Vegetarian,"Animal rights, worker rights, environmentalism."
Omnivore,Meat is delicious
Omnivore,I like meat and vegetables
Omnivore,It  is the way i was taught as a child. We eat very little meat
Omnivore,How I was brought up
Omnivore,I like To eat all food
Omnivore,"convenience, balanced diet, cost"
Omnivore,"I have chronically low iron, I like eggs and cheese, and due to other dietary restrictions removing all meat would be very hard"
Omnivore,Iron deficiency
Omnivore,Mostly vegetarian but do eat meat for nutrition/taste/social reasons
Omnivore,"Health; hard to get sufficient protein and iron from vegan diets. But yea, taste too."
Omnivore,"Practicality, it’s what I’ve always eaten"
Vegetarian,"Improved carb intake for endurance sports, lower risk of diseases, cancers. Cleaner cooking and storage, lower waste disposal, more comparable waste. Opting out of meat and dairy industry as much as possible"
Omnivore,Easy to balance and make healthy. Cheaper than other options.
Omnivore,"Ease, flavour."
Omnivore,"Enjoy it, good variety, nutrition"
Omnivore,"Brought up being an omnivore, meat and dairy products are apart of many Greek foods. Personal choice."
Omnivore,"Well balanced 
I'm a dietitian"
Omnivore,"I like dairy too much to be vegan, and I like fish too much to be vegetarian."
Vegetarian,Dietary requirements (hereditary high cholesterol)
Omnivore,I like meat and vegetables
Omnivore,I like meat
Omnivore,Always have.
Omnivore,"Mostly habit, and also for certain nutrients such as omega 3 in fish. I generally tend to eat more plant based foods than meat, but I still eat meat occasionally."
Omnivore,"I would like to be a vegetarian/vegan, but I have many dietary restrictions which does not leave me with very many options on what to eat, so I am an omnivore."
Omnivore,"Previously attempted vegitarianism, however this caused anemia. Now eat meat for medical reasons as supplements don't absorb for me."
Vegetarian,Ethical
Omnivore,My body works best with animal protein
Vegetarian,Spiritual and ethical
Omnivore,I like meat and dairy
Vegetarian,Animal products make me extremely sick. The only reason I cannot be vegan is because it's too hard when I'm living in a dorm.
Omnivore,"It was the way I was raised. I have been omnivorous my whole life, but I do plan on transitioning to veganism."
Omnivore,"I don’t have much of a taste for red meat, but I do enjoy the taste of fish, so I was a pescetarian for a while, but due to my anaemia I now eat a more mixed diet, although vegetarian and fish dishes still predominate."
Omnivore,Because I enjoy it.
Omnivore,I eat 90% vegan. I have health issues that mean I can't eat dairy or gluten so sometimes I eat eggs regularly and a bit chicken or seafood maybe once a month.
Omnivore,It's what I was raised with and I like variety.
Vegetarian,Spiritual and Ethical lifestyle
Vegetarian,Personal beliefs and it also makes me feel sick.
Vegetarian,Ethical and diet
Omnivore,I enjoy how it tastes and I grew up eating that way
Vegan,"I can't eat dairy due to health problems, and I don't eat meat due to environmental concerns."
Vegetarian,"For environmental reasons - if we all ate a little less meat the world would be a better place (less pollution, less cruelty), so i'm doing my part for those who want to eat more"
Vegetarian,A digestive disorder and a feeling of guilt over anim deaths
Omnivore,I'm currently in college and this is the easiest diet while eating on a meal plan.
Omnivore,"I think it's a healthy balance of everything, including meat, that brings about the most benefits. Aside from that, it's easier to not be as picky about food."
Omnivore,I like variety
Vegetarian,I never liked much meat besides chickens and then I had a phase in high school where I didn't want to eat anything. It kinda stuck and now I can't stomach meat.
Omnivore,It's a balanced healthy diet that provides all the nutrients and most importantly all the amino acids necessary
Vegetarian,"Medical, environmental and ethical."
Omnivore,I was vegetarian for over 8 years but it didn't sustain me. I had nutrient deficiencies despite having a very healthy and whole diet. So now I eat meat.
Omnivore,"I live at home and am largely dependent on my mother as the source of most of my meals. I don't have a large enough income to buy my own food, so what I'm given is what I eat"
Vegetarian,environmental reasons and I don't like meat
Vegan,Don’t like eating meat
Omnivore,Its a cultural lifestyle. I eat whatever I like and have seen my family eat (or not eat).
Omnivore,"I made mostly vegan for myself but have to live with family again.  It is more sustainable to eat the food my parents make.  It includes many vegetables, but 2-3 times a week meat too."
Vegetarian,I don’t want to eat animals
Omnivore,I was raised an omnivore and i love eating everything. Also i am naturally very skinny so i think that if i became vegan or vegetarian i would get sick
Vegetarian,"Started being a vegetarian when I was 13 because I cared about animal welfare. At this point, I don't care too much but it has been five years so I stick with it for a few reasons: spite toward everyone who called it a phase, guilt that I feel whenever I seriously consider stopping, and because my body no longer knows how to process meat. I've gotten terrible stomach cramps every time I accidentally consume meat (including things made with animal broth). So it's just not worth it to stop."
Omnivore,"I do not like to follow this diet as I know it is unhealthy for me but I follow this diet because it is the most common diet being cooked in our country and apparently, there is no vegan restaurant here in my country that I know of. I tend to shift to being vegan but my whole family does not follow vegan diet therefore, i fall back to 
 the diet with mostly meat on it (because of ""eat what is served"")."
Omnivore,"Health, convenience."
Vegan,Ethical and environmental
Omnivore,I like meat
Vegetarian,Animal welfare and health
Vegetarian,Don’t want to eat meat
Omnivore,I believe we are designed to eat both meat and plants
Omnivore,"I grew up in a household where meals were made for me and included meat heavily. Also, I enjoy the taste of most meats, as well as a love for fruits and vegetables."
Omnivore,"Convenience
"
Omnivore,Bc it’s how I was raised and I have a ridiculous amount of love for the way meat tastes
Omnivore,I have no qualms about eating meat or vegetables so I eat both
Omnivore,Eating disorder recovery.
Vegetarian,Ethical and environmental
Omnivore,"1) I do not like most vegetables, whereas I enjoy the taste of meat.
2) I need to occasionally eat vegetables for health reasons.
3) I'm too lazy/busy/unmotivated to put in the effort of making the change to vegetarianism."
Omnivore,"Convenience, and a balanced diet, especially regarding iron levels."
Omnivore,"I enjoy eating a broad variety of food including meat
"
Omnivore,"Grew up on a farm, meat always available and slow stews taste great. I'm not growing anymore or ever going to menstruate so I could cut down on the meat consumption...  But I don't because I'm prone to low iron and supplementation of any sort is not my preference. I'm aware of the WHO statement on red meats but take it along with the fact too much of anything can be a bad thing. A varied diet of unprocessed foods is my ideal. I wouldn't consider a strict vegan diet because of how restrictive it would be on gatherings with family/friends."
Omnivore,Because I’m normal
Omnivore,I feel that a varied diet is healthy
Vegetarian,I don't like the flavour/texture of meat
Omnivore,"I'm progressively giving up meat options in my diet, but as I still eat fish and a bit of chicken, I can't yet call myself a vegetarian. I'd be happy to not eat meat for ethical reasons."
Omnivore,Natural evolution
Omnivore,I enjoy diets where my food choices are not restricted. I believe that an omnivorous diet can still be ethical and somewhat environmentally sustainable.
Omnivore,Love meat.
Vegetarian,Due to cruel farming and killing practices.
Omnivore,I like animal and plant products.
